Page,Number,Name,MasjidID,Email,Phone,Address
3,20,AL-AMIN,01.4.14.35.01.000020,-,-,"Jl. Kolonel Sugiono RT.03/V Kripikan Pekauman Tegal Barat, Kota Tegal Jawa Tengah"
3,22,BAITUL FALAH,01.4.14.35.01.000022,-,081548042346,"Jl. H.Abdul Ghoni Gg.Mawar RT.02/03 Pesurungan Kidul Tegal Barat, Kota Tegal Jawa Tengah"
3,9,AL-MUHAJIRIN,01.4.14.32.01.000003,-,-,"Perum Domas RW 10 Kecamatan Sidorejo Sidorejo, Kota Salatiga Jawa Tengah"
3,15,AL-MUDZAKIRIN,01.4.14.35.01.000015,-,-,"Jl. Branjangan No.3 Pekauman Tegal Barat, Kota Tegal Jawa Tengah"
3,24,BAITURRAHMAN,01.4.14.35.01.000024,-,-,"Jl. H.Abdurrahman RT.07/02 Pesurungan Kidul Tegal Barat, Kota Tegal Jawa Tengah"
3,30,NURUL HUDA,01.4.14.32.01.000009,-,0818240535,"RT 02 RW 04 Turusan Sidorejo Sidorejo, Kota Salatiga Jawa Tengah"
3,12,BAITURROHIM,01.4.14.35.01.000013,-,08567050856,"Jl. Brawijaya Gg.Kemiri 2 Muarareja RT.1/III Tegal Barat, Kota Tegal Jawa Tengah"
3,19,AL-HAJRIN BASALAMAH,01.4.14.35.01.000019,-,-,"Jl. Kauman Utara RT.04/8 Pekauman Tegal Barat, Kota Tegal Jawa Tengah"
3,2,ARROHMAN,01.4.14.35.01.000007,-,-,"Jl. Durian Timur RT.1/IV Kraton Tegal Barat, Kota Tegal Jawa Tengah"
3,11,BAITURROHIM,01.3.14.32.01.000004,-,-,"Jl. Damarjati No. 98 RT 06 RW 04 Kalitaman Kel. Salatiga. Sidorejo, Kota Salatiga Jawa Tengah"
4,20,AL-HIDAYAH,01.4.14.35.02.000015,-,081911697238,"Jl. Karimun Jawa , Mintaragen, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52121, Indonesia Tegal Timur, Kota Tegal Jawa Tengah"
4,24,AL-AMIN,01.4.14.35.02.000019,-,-,"Jl. Sangir RT.06/XI Mintaragen Tegal Timur, Kota Tegal Jawa Tengah"
4,25,BAETUSSALAM,01.4.14.35.02.000020,-,-,"Jl. Serayu RT.06/VIII Mintaragen Tegal Timur, Kota Tegal Jawa Tengah"
4,1,ATTAQWA,01.4.14.35.01.000027,-,087749983303,"Jl. Bawal No. 9 RT.02/IV Tegalsari Tegal Barat, Kota Tegal Jawa Tengah"
4,26,SYUHADA,01.4.14.35.02.000021,-,-,"Jl. Flores Baru RT.02/XI Panggung Tegal Timur, Kota Tegal Jawa Tengah"
4,8,AL-MUNAWAR,01.6.14.35.02.000063,-,085742673763,"Jl. Kemuning RT.01/03 Kejambon Tegal Timur, Kota Tegal Jawa Tengah"
4,10,BAETURROHMAN,01.4.14.35.02.000005,-,-,"Jl. Sultan Agung Kejambon Tegal Timur, Kota Tegal Jawa Tengah"
4,9,ATH THOHAROH,01.4.14.35.02.000004,-,081548042170,"Jl. Mawar Gang II RT 05/5 No.57, Kejambon, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52131, Indonesia Tegal Timur, Kota Tegal Jawa Tengah"
4,15,AGUNG,01.2.14.35.02.000010,-,-,"Mangkukusuman Tegal Timur, Kota Tegal Jawa Tengah"
4,13,ISTIQOMAH,01.4.14.35.02.000008,-,-,"Jl. AR.Hakim Mangkukusuman Tegal Timur, Kota Tegal Jawa Tengah"
4,28,PANGGUNG,01.5.14.35.02.000065,-,081575503691,"Jl. KH.Mukhlas Gg. 5 RT.05/3 Panggung Tegal Timur, Kota Tegal Jawa Tengah"
4,16,AL-ISTIQOMAH,01.6.14.35.02.000066,-,-,"Jl. Bali No.33, RT 14/11 Mintaragen, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52121, Indonesia Tegal Timur, Kota Tegal Jawa Tengah"
4,30,AL-FAJRI,01.4.14.35.02.000025,-,-,"Jl. Martoloyo RT.08/8 Panggung Tegal Timur, Kota Tegal Jawa Tengah"
4,19,AN-NUR,01.4.14.35.02.000014,-,-,"Jl. Gajahmada RT.09/4 Mintaragen Tegal Timur, Kota Tegal Jawa Tengah"
4,18,BAETUL MUKARROMAH,01.4.14.35.02.000013,-,085642959600,"Jl. Citarum RT 02/09, Mintaragen, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52121, Indonesia Tegal Timur, Kota Tegal Jawa Tengah"
4,7,BAETUL MUKARROMAH,01.4.14.35.02.000002,-,085290662045,"Jl. Anggrek RT.03/01 Kejambon Tegal Timur, Kota Tegal Jawa Tengah"
4,27,BAITUL IZZAH,01.4.14.35.02.000022,-,-,"Jl. Kapuas RT.05/5 Panggung Tegal Timur, Kota Tegal Jawa Tengah"
4,4,BAITURROHMAN,01.4.14.35.01.000030,-,0283354852,"Jl. Sepat No.28 RT.01/IV Tegalsari Tegal Barat, Kota Tegal Jawa Tengah"
4,11,SIROJUL MUKHLISIN,01.4.14.35.02.000006,-,-,"Jl. Tanjung RT.06/04 Kejambon Tegal Timur, Kota Tegal Jawa Tengah"
4,29,HIDAYATULLAH,01.4.14.35.02.000024,-,-,"Jl. Martoloyo RT.05/9 Panggung Tegal Timur, Kota Tegal Jawa Tengah"
4,2,BAETUL HIDAYAH,01.4.14.35.01.000028,-,-,"Jl. Blanak RT.03/I Tegalsari Tegal Barat, Kota Tegal Jawa Tengah"
4,22,BARATA,01.4.14.35.02.000017,-,-,"Jl. Pemuda Mintaragen Tegal Timur, Kota Tegal Jawa Tengah"
4,21,DARUL HIKMAH,01.4.14.35.02.000016,-,-,"Jl. Halmahera RT.01/XI Mintaragen Tegal Timur, Kota Tegal Jawa Tengah"
4,3,SUNAN KALIJAGA,01.4.14.35.01.000029,-,-,"Jl. Ketemberan Barat RT.06/VII Tegal Barat, Kota Tegal Jawa Tengah"
4,6,AL-HIKMAH,01.4.14.35.01.000033,-,-,"Jl. Layur RT.03/XII Tegalsari Tegal Barat, Kota Tegal Jawa Tengah"
4,5,NASTA'IN,01.4.14.35.01.000032,-,-,"Jl. Layang Barat RT.02/IX Tegalsari Tegal Barat, Kota Tegal Jawa Tengah"
4,17,BAETURROCHIM,01.4.14.35.02.000012,-,-,"Jl. Sultan Agung RT.06/2 Kejambon Tegal Timur, Kota Tegal Jawa Tengah"
4,23,BAITUL IMAN,01.4.14.35.02.000018,-,-,"Jl. Penjalan Timur RT.08/10 Mintaragen Tegal Timur, Kota Tegal Jawa Tengah"
4,14,SMU MUHAMMADIYAH,01.4.14.35.02.000009,-,-,"Jl. Kartini Mangkukusuman Tegal Timur, Kota Tegal Jawa Tengah"
4,12,RAUDLOTUS SHOLIKHIN,01.4.14.35.02.000007,-,08157750751,"Jl. AR Hakim Gang K. Daud RT 04/01 No. 4 Tegal Mangkukusuman, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52131, Indonesia Tegal Timur, Kota Tegal Jawa Tengah"
5,10,SYUHADA,01.6.14.35.02.000069,-,08154251787,"Jl. Sumbodro RT 03/RW04, Slerok Tegal Timur, Kota Tegal Jawa Tengah"
5,2,HAQQULLAH,01.4.14.35.02.000027,-,085642542835,"Jl. Perintis KemerdekaanGg. 16 No.52, Panggung, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52122, Indonesia Tegal Timur, Kota Tegal Jawa Tengah"
5,29,MUBAROK,01.4.14.32.01.000024,-,-,"Jl. Imam Bonjol Gang Singomangkoro, Sinoman Kel Sidorejo Lor Sidorejo, Kota Salatiga Jawa Tengah"
5,18,DARUL ISTIQOMAH,01.4.14.32.01.000013,-,-,"Kemiri Raya No II/122 RT 03 RW IX Sidorejo, Kota Salatiga Jawa Tengah"
5,23,AMARTA,01.6.14.32.01.000018,-,-,"Komplek SMP N 2 Salatiga Jl Kartini RT 02 RW I Sidorejo, Kota Salatiga Jawa Tengah"
5,3,AS-SHOLIKHIN,01.4.14.35.02.000028,-,-,"Jl. Perintis Kemerdekaan Panggung Tegal Timur, Kota Tegal Jawa Tengah"
5,15,AL-HIKMAH,01.4.14.32.01.000010,-,-,"Kemiri RT 02 RW 09 Kec. Sidorejo Sidorejo, Kota Salatiga Jawa Tengah"
5,16,SHIROOTOL MUSTAQIIM,01.6.14.32.01.000011,-,0298-326214,"Komplek DenPom IV/3 RT 03 RQ 09 Kemiri Sidorejo, Kota Salatiga Jawa Tengah"
5,1,BAETURROCHMAN,01.6.14.35.02.000068,-,0816659726,"Jl. Panggung Baru No.57 RT 06/RW 07 Kelurahan Panggung Tegal Timur, Kota Tegal Jawa Tengah"
5,30,BAITUL IZZAH,01.6.14.32.01.000025,-,-,"Jl. Ki Penjawi Komplek Kantor Kecamatan Sidorejo Sidorejo, Kota Salatiga Jawa Tengah"
5,9,BAETUSSHOLIHIN,01.4.14.35.02.000034,-,-,"Jl. Surabayan RT.02/6 Panggung Tegal Timur, Kota Tegal Jawa Tengah"
5,17,ISTIQOMAH,01.4.14.32.01.000012,-,-,"Cemara Raya RT 08 RW IX Sidorejo Sidorejo, Kota Salatiga Jawa Tengah"
5,20,AL-MURTADLO,01.4.14.32.01.000015,-,-,"Pungkur Sari RT 06 RW III Kelurahan Salatiga Sidorejo, Kota Salatiga Jawa Tengah"
5,21,BAITUL MUKMIN,01.4.14.32.01.000016,-,(0298) 312012,"Margo Sari RT 02 RW I Sidorejo, Kota Salatiga Jawa Tengah"
5,11,AN-NUUR,01.4.14.35.02.000036,-,087784930850,"Jl. Werkudoro Gang Bratasena RT 01/6, Slerok, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52124, Indonesia Tegal Timur, Kota Tegal Jawa Tengah"
5,24,DARUT TAQWA,01.4.14.32.01.000019,-,-,"Jl. Cepaka RT 05 RW III Kelurahan Sidorejo Lor Sidorejo, Kota Salatiga Jawa Tengah"
5,22,AN-NUR,01.6.14.32.01.000017,-,-,"Komplek SMA 3 Jalan Kartini RT 02 RQ I Salatiga Sidorejo, Kota Salatiga Jawa Tengah"
5,14,AL-HIDAYAH,01.4.14.35.03.000006,-,-,"Debong Kidul RT.04/3 Tegal Selatan, Kota Tegal Jawa Tengah"
5,6,NURKHASANAH,01.4.14.35.02.000031,-,-,"Jl. Sipayung RT.12/8 Panggung Tegal Timur, Kota Tegal Jawa Tengah"
5,5,NURUL HUDA,01.4.14.35.02.000030,-,-,"Jl. Panggung Baru RT.02/7 Panggung Tegal Timur, Kota Tegal Jawa Tengah"
5,4,BAETUL HIDAYAH,01.4.14.35.02.000029,-,08164889171,"Jl. Perintis Kemerdekaan Gg. 26 No.19, Panggung, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52122, Indonesia Tegal Timur, Kota Tegal Jawa Tengah"
5,25,AL-ATIQ,01.5.14.32.01.000020,-,-,"Jl. Wahid Hasyim No. 2 Kauman Kel. Sidorejo Lor Sidorejo, Kota Salatiga Jawa Tengah"
5,26,AL-MUFLIHUN,01.4.14.32.01.000021,-,-,"Jl. Osamaliki No. 69 Andong VII Jetis Barat RT 04 RW X Kelurahan Sidorejo Lor Sidorejo, Kota Salatiga Jawa Tengah"
5,12,NUR HIDAYAH,01.4.14.35.03.000004,-,-,"Debong Tengah RT.03/1 Tegal Selatan, Kota Tegal Jawa Tengah"
5,7,AL-FALAH,01.4.14.35.02.000032,-,085801137039,"Jl. Slamet No.62, Panggung, Kec. Tegal Tim., Kota Tegal, Jawa Tengah 52122, Indonesia Tegal Timur, Kota Tegal Jawa Tengah"
5,8,KEPANJEN,01.4.14.35.02.000033,-,-,"Jl. Sudiarto RT.08/4 Panggung Tegal Timur, Kota Tegal Jawa Tengah"
5,19,BAITUL-ROHMAN,01.4.14.32.01.000014,-,(0298) 327129/08112719644,"Margosari RT 01 RW I Kelurahan Salatiga Sidorejo, Kota Salatiga Jawa Tengah"
5,13,FATIMAH,01.4.14.35.03.000005,-,-,"Debong Kidul RT.03/2 Tegal Selatan, Kota Tegal Jawa Tengah"
5,28,BAITUL HAMID,01.4.14.32.01.000023,baitulhamid13@gmail.com,"0816664827, 085875556999","Banyuputih Barat RT 03 RW 13 Kelurahan Sidorejo Lor Sidorejo, Kota Salatiga Jawa Tengah"
5,27,AL-HASAN,01.4.14.32.01.000022,-,-,"Jl. Imam Bonjol Banyuputih Timur RT 03 RW I Kel. Sidorejo Lor Sidorejo, Kota Salatiga Jawa Tengah"
6,14,FATHUL HUDA,01.6.14.02.07.000005,-,-,"KUNTILI RT 06 RW 03 Sumpiuh, Kab. Banyumas Jawa Tengah"
6,9,MIFTAKHUL HUDA,01.4.14.02.15.000001,-,(0281) 5700293,"Jl. Raya Gumelar Gumelar, Kab. Banyumas Jawa Tengah"
6,21,AL-HASAN,01.4.14.02.07.000012,-,-,"KARANGGEDANG RT 01 RW 01 Sumpiuh, Kab. Banyumas Jawa Tengah"
6,7,DARUSSALAM,01.5.14.02.16.000001,-,085226882222,"Jl. Stasiun Legok Pekuncen Pekuncen, Kab. Banyumas Jawa Tengah"
6,25,ATTAQWA,01.6.14.02.07.000016,-,-,"NUSADADI Sumpiuh, Kab. Banyumas Jawa Tengah"
6,10,RAUDLOTUL MUSLIMIN,01.4.14.02.07.000001,-,-,"PANDAK RT 02 RW 01 Sumpiuh, Kab. Banyumas Jawa Tengah"
6,2,AL-BURHAN,01.4.14.32.01.000027,-,(0298) 311687,"Jl. KH. Ahmad Dahlan Soka RT 06 RW 07 Kel. Sidorejo Lor Sidorejo, Kota Salatiga Jawa Tengah"
